,e01,Age,l09,n03,w11,w11 - don't know,w15_1,w15_1 - don't know,f01_2,f01_2 - don't know,f01_5,f01_5 - don't know,v01,v01 - don't know
Mean,4.951798730308018,53.17611098048437,4.463437573477545,3.852809781330825,0.3094286386080414,0.14366329649659065,2.4067716905713614,0.013872560545497296,2.6585939336938633,0.009875382083235363,1.2988478720902892,0.025864095932283095,0.4060663061368446,0.07547613449329885
Standard Deviation,1.9407590451221415,18.359161306385467,2.662166439849778,2.303957427284009,0.4622581056263,0.3507479917780333,1.2338097970933801,0.11696201353178222,1.1583206171783607,0.09888305674859306,1.051368657167288,0.15872978445738767,0.49109720133312,0.26415807315932693
