e01,Age,l09,n03,w11,w11 - don't know,w15_1,w15_1 - don't know,f01_2,f01_2 - don't know,f01_5,f01_5 - don't know,v01,v01 - don't know
4.95179873,53.17611098,4.463437573,3.852809781,0.309428639,0.143663296,2.406771691,0.013872561,2.658593934,0.009875382,1.298847872,0.025864096,0.406066306,0.075476134
1.940759045,18.35916131,2.66216644,2.303957427,0.462258106,0.350747992,1.233809797,0.116962014,1.158320617,0.098883057,1.051368657,0.158729784,0.491097201,0.264158073
